数据标识,数据格式,数据长度,单位,功能,数据项名称,数据内容
9010,XXXXXX.XX,4,kWh,R,(当前)正向有功总电能,00011111;
9011,XXXXXX.XX,4,kWh,R,(当前)正向有功费率1电能,00001111;
9012,XXXXXX.XX,4,kWh,R,(当前)正向有功费率2电能,00002222;
9013,XXXXXX.XX,4,kWh,R,(当前)正向有功费率3电能,00003333;
9014,XXXXXX.XX,4,kWh,R,(当前)正向有功费率4电能,00004444;
901F,XXXXXX.XX,20,kWh,R,(当前)正向有功电能数据块,00111110;00011111;00022222;00033333;00044444;
9020,XXXXXX.XX,4,kWh,R,(当前)反向有功总电能,00011111;
9021,XXXXXX.XX,4,kWh,R,(当前)反向有功费率1电能,00001111;
9022,XXXXXX.XX,4,kWh,R,(当前)反向有功费率2电能,00002222;
9023,XXXXXX.XX,4,kWh,R,(当前)反向有功费率3电能,00003333;
9024,XXXXXX.XX,4,kWh,R,(当前)反向有功费率4电能,00004444;
902F,XXXXXX.XX,20,kWh,R,(当前)反向有功电能数据块,00111110;00011111;00022222;00033333;00044444;
9110,XXXXXX.XX,4,kvarh,R,(当前)正向无功总电能,00011111;
9111,XXXXXX.XX,4,kvarh,R,(当前)正向无功费率1电能,00001111;
9112,XXXXXX.XX,4,kvarh,R,(当前)正向无功费率2电能,00002222;
9113,XXXXXX.XX,4,kvarh,R,(当前)正向无功费率3电能,00003333;
9114,XXXXXX.XX,4,kvarh,R,(当前)正向无功费率4电能,00004444;
901F,XXXXXX.XX,20,kvarh,R,(当前)正向无功电能数据块,00111110;00011111;00022222;00033333;00044444;
9120,XXXXXX.XX,4,kvarh,R,(当前)反向无功总电能,00011111;
9121,XXXXXX.XX,4,kvarh,R,(当前)反向无功费率1电能,00001111;
9122,XXXXXX.XX,4,kvarh,R,(当前)反向无功费率2电能,00002222;
9123,XXXXXX.XX,4,kvarh,R,(当前)反向无功费率3电能,00003333;
9124,XXXXXX.XX,4,kvarh,R,(当前)反向无功费率4电能,00004444;
902F,XXXXXX.XX,20,kvarh,R,(当前)反向无功电能数据块,00111110;00011111;00022222;00033333;00044444;
9130,XXXXXX.XX,4,kvarh,R,(当前)第一象限无功总电能,00011111;
9131,XXXXXX.XX,4,kvarh,R,(当前)第一象限无功费率1电能,00001111;
9132,XXXXXX.XX,4,kvarh,R,(当前)第一象限无功费率2电能,00002222;
9133,XXXXXX.XX,4,kvarh,R,(当前)第一象限无功费率3电能,00003333;
9134,XXXXXX.XX,4,kvarh,R,(当前)第一象限无功费率4电能,00004444;
913F,XXXXXX.XX,20,kvarh,R,(当前)第一象限无功电能数据块,00111110;00011111;00022222;00033333;00044444;
9150,XXXXXX.XX,4,kvarh,R,(当前)第二象限无功总电能,00011111;
9151,XXXXXX.XX,4,kvarh,R,(当前)第二象限无功费率1电能,00001111;
9152,XXXXXX.XX,4,kvarh,R,(当前)第二象限无功费率2电能,00002222;
9153,XXXXXX.XX,4,kvarh,R,(当前)第二象限无功费率3电能,00003333;
9154,XXXXXX.XX,4,kvarh,R,(当前)第二象限无功费率4电能,00004444;
915F,XXXXXX.XX,20,kvarh,R,(当前)第二象限无功电能数据块,00111110;00011111;00022222;00033333;00044444;
9160,XXXXXX.XX,4,kvarh,R,(当前)第三象限无功总电能,00011111;
9161,XXXXXX.XX,4,kvarh,R,(当前)第三象限无功费率1电能,00001111;
9162,XXXXXX.XX,4,kvarh,R,(当前)第三象限无功费率2电能,00002222;
9163,XXXXXX.XX,4,kvarh,R,(当前)第三象限无功费率3电能,00003333;
9164,XXXXXX.XX,4,kvarh,R,(当前)第三象限无功费率4电能,00004444;
916F,XXXXXX.XX,20,kvarh,R,(当前)第三象限无功电能数据块,00111110;00011111;00022222;00033333;00044444;
9140,XXXXXX.XX,4,kvarh,R,(当前)第四象限无功总电能,00011111;
9141,XXXXXX.XX,4,kvarh,R,(当前)第四象限无功费率1电能,00001111;
9142,XXXXXX.XX,4,kvarh,R,(当前)第四象限无功费率2电能,00002222;
9143,XXXXXX.XX,4,kvarh,R,(当前)第四象限无功费率3电能,00003333;
9144,XXXXXX.XX,4,kvarh,R,(当前)第四象限无功费率4电能,00004444;
914F,XXXXXX.XX,20,kvarh,R,(当前)第四象限无功电能数据块,00111110;00011111;00022222;00033333;00044444;
